country,code,percent_emissions,percent_population,score,Ratio of Global Emissions Contribution to Share of Global Population
Afghanistan,AFG,0.030800766,0.483243857,0.063737522,0
Albania,ALB,0.013566362,0.038256699,0.354614023,0
Algeria,DZA,0.431345578,0.55104847,0.782772481,1
Angola,AGO,0.083286134,0.396974915,0.209802008,0
Antigua and Barbuda,ATG,0.001672196,0.001270485,1.316186988,1
Argentina,ARG,0.566307954,0.586404832,0.965728661,1
Armenia,ARM,0.013026944,0.039206667,0.33226349,0
Aruba,ABW,0.002589206,0.001402824,1.845709565,2
Australia,AUS,1.084904388,0.327544818,3.312231882,3
Austria,AUT,0.194864741,0.117129239,1.663672895,2
Azerbaijan,AZE,0.087763303,0.131194854,0.668953853,1
Bahamas,BHS,0.00809127,0.005082699,1.591923956,2
Bahrain,BHR,0.096474904,0.019891837,4.849974499,5
Bangladesh,BGD,0.228038946,2.125826067,0.107270745,0
Barbados,BRB,0.008549775,0.003810856,2.243531559,2
Belarus,BLR,0.168136581,0.126458209,1.329582177,1
Belgium,BEL,0.281090703,0.151446844,1.856035396,2
Belize,BLZ,0.00118672,0.005002922,0.237205279,0
Benin,BEN,0.019149338,0.148784692,0.128705028,0
Bermuda,BMU,0.001159749,0.000850407,1.363756912,1
Bhutan,BTN,0.00391078,0.009926361,0.393979265,0
Bolivia,BOL,0.055182458,0.149019681,0.370303156,0
Bosnia and Herzegovina,BIH,0.069099442,0.044621638,1.548563527,2
Botswana,BWA,0.021333981,0.029358685,0.726666774,1
Brazil,BRA,1.329098902,2.767062909,0.480328401,0
British Virgin Islands,VGB,0.000404563,0.000393783,1.027376815,1
Brunei,BRN,0.018097473,0.005651359,3.202322543,3
Bulgaria,BGR,0.133694743,0.094207908,1.419145651,1
Burkina Faso,BFA,0.009170105,0.255535992,0.035885768,0
Burundi,BDI,0.000782156,0.144149085,0.005426022,0
Cambodia,KHM,0.028481269,0.21314651,0.133622966,0
Cameroon,CMR,0.026350568,0.327067983,0.080566026,0
Canada,CAN,1.664913558,0.486490673,3.422292865,3
Cape Verde,CPV,0.002589206,0.00715614,0.361816036,0
Cayman Islands,CYM,0.001321574,0.000843857,1.566111808,2
Central African Republic,CAF,0.001321574,0.061190705,0.021597627,0
